Tiempo	ya	va	ve	ye
4.0299999999999585	460.71959000000123	-29.493999999999595	-29.49399999999992	460.52212
4.039999999999958	460.4241600000012	-29.591999999999594	-29.59199999999992	460.22619999999995
4.049999999999958	460.12775000000124	-29.689999999999593	-29.68999999999992	459.92929999999996
4.059999999999958	459.83036000000124	-29.78799999999959	-29.78799999999992	459.63141999999993
4.069999999999958	459.53199000000126	-29.88599999999959	-29.885999999999918	459.33255999999994
4.079999999999957	459.23264000000125	-29.983999999999583	-29.983999999999916	459.0327199999999
4.089999999999957	458.9323100000013	-30.08199999999958	-30.081999999999915	458.73189999999994
4.099999999999957	458.6310000000013	-30.17999999999958	-30.179999999999914	458.4300999999999
4.109999999999957	458.3287100000013	-30.27799999999958	-30.277999999999913	458.12731999999994
4.119999999999957	458.0254400000013	-30.37599999999958	-30.375999999999912	457.82355999999993
4.129999999999956	457.72119000000134	-30.473999999999577	-30.47399999999991	457.51881999999995
4.139999999999956	457.41596000000135	-30.571999999999576	-30.57199999999991	457.21309999999994
4.149999999999956	457.1097500000013	-30.66999999999957	-30.66999999999991	456.90639999999996
4.159999999999956	456.80256000000134	-30.767999999999567	-30.76799999999991	456.59871999999996
4.1699999999999555	456.4943900000014	-30.865999999999566	-30.865999999999907	456.29006
4.179999999999955	456.1852400000014	-30.963999999999565	-30.963999999999906	455.98042
4.189999999999955	455.87511000000137	-31.061999999999564	-31.061999999999905	455.6698
4.199999999999955	455.5640000000014	-31.159999999999563	-31.159999999999904	455.3582
4.209999999999955	455.25191000000143	-31.257999999999562	-31.257999999999903	455.04562
4.2199999999999545	454.93884000000145	-31.355999999999554	-31.355999999999902	454.73206
4.229999999999954	454.62479000000144	-31.453999999999553	-31.4539999999999	454.41751999999997
4.239999999999954	454.30976000000146	-31.551999999999552	-31.5519999999999	454.102
4.249999999999954	453.99375000000146	-31.64999999999955	-31.6499999999999	453.78549999999996
4.259999999999954	453.6767600000015	-31.74799999999955	-31.747999999999898	453.46801999999997
4.269999999999953	453.3587900000015	-31.84599999999955	-31.845999999999897	453.14955999999995
4.279999999999953	453.0398400000015	-31.94399999999954	-31.943999999999896	452.83011999999997
4.289999999999953	452.7199100000015	-32.04199999999954	-32.041999999999895	452.50969999999995
4.299999999999953	452.39900000000154	-32.13999999999954	-32.139999999999894	452.18829999999997
4.3099999999999525	452.07711000000154	-32.23799999999954	-32.23799999999989	451.86591999999996
